[2017-08-18 23:00:00.480] [INFO] default - ROU | /security/profiles
[2017-08-18 23:00:00.487] [INFO] default - BSN | profiles [getAll]
[2017-08-18 23:00:00.487] [INFO] default - DTA | profiles [getAll]
[2017-08-18 23:00:00.498] [INFO] default - DTA | profiles [getAll] retrieve: 4 records
[2017-08-18 23:28:14.204] [INFO] default - ROU | /security/groups
[2017-08-18 23:28:14.207] [INFO] default - BSN | groups [getAll]
[2017-08-18 23:28:14.207] [INFO] default - DTA | profiles [getAll]
[2017-08-18 23:28:14.244] [INFO] default - DTA | groups [getAll] retrieve: 1 records
[2017-08-18 23:48:30.715] [INFO] default - ROU | /security/profiles
[2017-08-18 23:48:30.716] [INFO] default - BSN | groups [getAll]
[2017-08-18 23:48:30.716] [INFO] default - DTA | profiles [getAll]
[2017-08-18 23:48:30.718] [INFO] default - DTA | groups [getAll] retrieve: 1 records
[2017-08-18 23:52:50.427] [INFO] default - ROU | /security/profiles
[2017-08-18 23:52:50.427] [INFO] default - BSN | groups [getAll]
[2017-08-18 23:52:50.427] [INFO] default - DTA | profiles [getAll]
[2017-08-18 23:52:50.428] [INFO] default - DTA | groups [getAll] retrieve: 1 records
[2017-08-18 23:55:24.383] [INFO] default - ROU | /security/profiles
[2017-08-18 23:55:24.383] [INFO] default - BSN | groups [getAll]
[2017-08-18 23:55:24.383] [INFO] default - DTA | profiles [getAll]
[2017-08-18 23:55:24.384] [INFO] default - DTA | groups [getAll] retrieve: 1 records
